,sex,income,region,age,question,answer
147,Male,"$75,000 to $99,999",West North Central,45 - 59,1,Not at all worried
148,Male,"$200,000 and up",Mountain,60,1,Not at all worried
149,Male,"$25,000 to $49,999",South Atlantic,45 - 59,1,Not so worried
150,Male,"$200,000 and up",East South Central,45 - 59,1,Not so worried
151,,,,,1,Not at all worried
152,Male,"$0 to $9,999",Middle Atlantic,30 - 44,1,Extremely worried
153,Male,Prefer not to answer,Middle Atlantic,30 - 44,1,Somewhat worried
154,Male,"$200,000 and up",East North Central,60,1,Not at all worried
155,Male,"$50,000 to $74,999",Pacific,30 - 44,1,Not at all worried
156,Male,Prefer not to answer,Mountain,60,1,Not so worried
157,Male,"$125,000 to $149,999",Pacific,45 - 59,1,Not so worried
158,Male,"$10,000 to $24,999",East North Central,60,1,Not so worried
159,Male,"$10,000 to $24,999",West South Central,18 - 29,1,Extremely worried
160,Male,"$50,000 to $74,999",Pacific,30 - 44,1,Not so worried
161,Male,"$75,000 to $99,999",South Atlantic,45 - 59,1,Not so worried
162,,,,,1,Very worried
163,Male,"$75,000 to $99,999",West South Central,45 - 59,1,Not so worried
164,Male,"$50,000 to $74,999",Pacific,18 - 29,1,Not so worried
165,Male,"$75,000 to $99,999",South Atlantic,18 - 29,1,Somewhat worried
166,Male,"$75,000 to $99,999",Mountain,45 - 59,1,Not so worried
167,Male,Prefer not to answer,Middle Atlantic,18 - 29,1,Not at all worried
168,Male,"$125,000 to $149,999",West South Central,45 - 59,1,Not at all worried
169,Male,Prefer not to answer,Middle Atlantic,18 - 29,1,Not at all worried
170,Male,"$0 to $9,999",West South Central,18 - 29,1,Extremely worried
171,Male,Prefer not to answer,Pacific,30 - 44,1,Somewhat worried
172,Male,"$200,000 and up",Middle Atlantic,45 - 59,1,Not so worried
173,Male,"$75,000 to $99,999",Pacific,60,1,Somewhat worried
174,Male,"$10,000 to $24,999",West South Central,45 - 59,1,Not at all worried
175,Male,Prefer not to answer,New England,30 - 44,1,Not so worried
176,Male,"$10,000 to $24,999",,30 - 44,1,Very worried
177,Male,Prefer not to answer,Pacific,18 - 29,1,Somewhat worried
178,Male,"$50,000 to $74,999",South Atlantic,45 - 59,1,Extremely worried
179,Male,Prefer not to answer,Mountain,60,1,Not at all worried
180,Male,"$125,000 to $149,999",West North Central,60,1,Not so worried
181,Male,"$125,000 to $149,999",South Atlantic,30 - 44,1,Not at all worried
182,Male,Prefer not to answer,,30 - 44,1,Not at all worried
183,Male,Prefer not to answer,,18 - 29,1,Somewhat worried
184,Male,"$75,000 to $99,999",Pacific,30 - 44,1,Not at all worried
185,Male,"$50,000 to $74,999",East South Central,60,1,Not so worried
186,Male,"$50,000 to $74,999",Middle Atlantic,45 - 59,1,Not so worried
187,Male,"$50,000 to $74,999",South Atlantic,60,1,Not so worried
188,Male,"$200,000 and up",Pacific,30 - 44,1,Very worried
189,Male,Prefer not to answer,West South Central,60,1,Not so worried
190,Male,"$50,000 to $74,999",East North Central,30 - 44,1,Not at all worried
191,Male,"$75,000 to $99,999",Middle Atlantic,60,1,Somewhat worried
192,Male,Prefer not to answer,Middle Atlantic,30 - 44,1,Somewhat worried
193,Male,"$100,000 to $124,999",Middle Atlantic,45 - 59,1,Not at all worried
194,Female,"$125,000 to $149,999",Middle Atlantic,60,1,Not so worried
195,Male,"$75,000 to $99,999",New England,30 - 44,1,Somewhat worried
196,Male,"$200,000 and up",East North Central,30 - 44,1,Not so worried
197,Female,Prefer not to answer,South Atlantic,60,1,Not so worried
198,Male,Prefer not to answer,West North Central,18 - 29,1,Not so worried
199,Male,"$0 to $9,999",East North Central,30 - 44,1,Not so worried
200,Female,"$10,000 to $24,999",East North Central,60,1,Not at all worried
201,Female,"$75,000 to $99,999",Mountain,60,1,Somewhat worried
202,Male,"$125,000 to $149,999",South Atlantic,45 - 59,1,Not at all worried
203,Male,"$25,000 to $49,999",South Atlantic,60,1,Not so worried
204,Male,"$50,000 to $74,999",Mountain,45 - 59,1,Somewhat worried
205,Male,"$125,000 to $149,999",Middle Atlantic,60,1,Not at all worried
206,Male,"$75,000 to $99,999",South Atlantic,30 - 44,1,Somewhat worried
207,Male,"$175,000 to $199,999",West South Central,30 - 44,1,Not at all worried
208,Male,"$100,000 to $124,999",Pacific,45 - 59,1,Not so worried
209,Female,"$150,000 to $174,999",Pacific,60,1,Somewhat worried
210,Male,"$150,000 to $174,999",Middle Atlantic,30 - 44,1,Not at all worried
211,Male,"$25,000 to $49,999",West South Central,45 - 59,1,Not at all worried
212,Female,Prefer not to answer,Pacific,18 - 29,1,Not so worried
213,Female,"$25,000 to $49,999",Mountain,18 - 29,1,Not at all worried
214,Female,"$25,000 to $49,999",East North Central,18 - 29,1,Not at all worried
215,Male,"$25,000 to $49,999",South Atlantic,30 - 44,1,Not so worried
216,Male,"$25,000 to $49,999",East South Central,30 - 44,1,Not at all worried
217,Male,"$100,000 to $124,999",Middle Atlantic,45 - 59,1,Not so worried
218,Female,"$50,000 to $74,999",Pacific,60,1,Not so worried
219,Female,"$10,000 to $24,999",Pacific,18 - 29,1,Very worried
220,Female,"$0 to $9,999",West South Central,18 - 29,1,Not at all worried
221,Male,"$25,000 to $49,999",East North Central,60,1,Not at all worried
222,Female,"$25,000 to $49,999",West North Central,60,1,Somewhat worried
223,Female,"$25,000 to $49,999",Pacific,18 - 29,1,Not so worried
224,Female,"$50,000 to $74,999",East South Central,60,1,Not so worried
225,Male,"$50,000 to $74,999",East North Central,60,1,Not at all worried
226,Male,"$25,000 to $49,999",South Atlantic,45 - 59,1,Very worried
227,Female,Prefer not to answer,West North Central,60,1,Not at all worried
228,Female,"$25,000 to $49,999",Middle Atlantic,18 - 29,1,Somewhat worried
229,Male,"$75,000 to $99,999",West South Central,45 - 59,1,Not at all worried
230,Female,"$25,000 to $49,999",South Atlantic,60,1,Not so worried
231,Female,Prefer not to answer,Pacific,18 - 29,1,Somewhat worried
232,Female,"$125,000 to $149,999",East South Central,60,1,Somewhat worried
233,Male,"$175,000 to $199,999",East North Central,45 - 59,1,Not at all worried
234,Male,"$125,000 to $149,999",Mountain,60,1,Not so worried
235,Male,"$25,000 to $49,999",New England,30 - 44,1,Not so worried
236,Female,"$0 to $9,999",,18 - 29,1,Extremely worried
237,Male,"$75,000 to $99,999",South Atlantic,45 - 59,1,Not at all worried
238,Male,"$10,000 to $24,999",South Atlantic,30 - 44,1,Not so worried
239,Male,"$50,000 to $74,999",West South Central,30 - 44,1,Not at all worried
240,Female,"$0 to $9,999",South Atlantic,18 - 29,1,Somewhat worried
241,Male,"$75,000 to $99,999",East North Central,60,1,Not so worried
242,Male,"$125,000 to $149,999",West South Central,60,1,Somewhat worried
243,Female,"$75,000 to $99,999",Pacific,18 - 29,1,Somewhat worried
244,Male,"$50,000 to $74,999",Pacific,60,1,Not so worried
245,Male,"$50,000 to $74,999",West North Central,45 - 59,1,Extremely worried
246,Male,"$50,000 to $74,999",New England,30 - 44,1,Somewhat worried
247,Female,Prefer not to answer,East South Central,60,1,Not so worried
248,Male,"$100,000 to $124,999",New England,45 - 59,1,Not so worried
249,Female,Prefer not to answer,New England,18 - 29,1,Very worried
250,Male,"$25,000 to $49,999",East North Central,60,1,Not so worried
251,Female,Prefer not to answer,East North Central,18 - 29,1,Very worried
252,Female,"$75,000 to $99,999",Middle Atlantic,60,1,Not so worried
253,Male,"$0 to $9,999",West North Central,18 - 29,1,Very worried
254,Male,"$50,000 to $74,999",Mountain,60,1,Not at all worried
255,Female,"$0 to $9,999",East North Central,18 - 29,1,Extremely worried
256,Male,"$50,000 to $74,999",Middle Atlantic,60,1,Not at all worried
257,Female,Prefer not to answer,West North Central,60,1,Not at all worried
258,Male,"$75,000 to $99,999",East North Central,60,1,Not at all worried
259,Male,"$100,000 to $124,999",Middle Atlantic,45 - 59,1,Somewhat worried
260,Female,"$25,000 to $49,999",West North Central,45 - 59,1,Not so worried
261,Female,"$75,000 to $99,999",West North Central,45 - 59,1,Not at all worried
262,Female,"$0 to $9,999",East North Central,18 - 29,1,Extremely worried
263,Male,Prefer not to answer,Mountain,30 - 44,1,Not at all worried
264,Female,"$50,000 to $74,999",Pacific,18 - 29,1,Somewhat worried
265,Female,"$50,000 to $74,999",East North Central,45 - 59,1,Not at all worried
266,Male,"$50,000 to $74,999",South Atlantic,18 - 29,1,Somewhat worried
267,Female,"$50,000 to $74,999",New England,45 - 59,1,Not at all worried
268,Female,"$175,000 to $199,999",West South Central,45 - 59,1,Somewhat worried
269,Male,"$0 to $9,999",West South Central,18 - 29,1,Not at all worried
270,Male,"$50,000 to $74,999",Mountain,45 - 59,1,Not at all worried
271,Male,"$10,000 to $24,999",Mountain,60,1,Somewhat worried
272,Female,Prefer not to answer,East North Central,45 - 59,1,Not so worried
273,Female,"$25,000 to $49,999",Pacific,45 - 59,1,Not so worried
274,Female,"$25,000 to $49,999",Mountain,60,1,Not at all worried
275,Male,Prefer not to answer,Pacific,30 - 44,1,Not so worried
276,Female,"$125,000 to $149,999",West South Central,45 - 59,1,Somewhat worried
277,Male,"$10,000 to $24,999",West North Central,45 - 59,1,Not at all worried
278,Male,"$125,000 to $149,999",East North Central,45 - 59,1,Not at all worried
279,Female,"$25,000 to $49,999",West North Central,18 - 29,1,Not at all worried
280,Female,"$0 to $9,999",West North Central,18 - 29,1,Not at all worried
281,Female,Prefer not to answer,Pacific,45 - 59,1,Very worried
282,Female,"$50,000 to $74,999",East North Central,60,1,Not so worried
283,Female,"$125,000 to $149,999",Middle Atlantic,45 - 59,1,Not so worried
284,Female,"$175,000 to $199,999",New England,45 - 59,1,Not at all worried
285,Female,"$25,000 to $49,999",East South Central,18 - 29,1,Somewhat worried
286,Male,"$50,000 to $74,999",West North Central,60,1,Not at all worried
287,Female,"$0 to $9,999",West South Central,45 - 59,1,Somewhat worried
288,Female,"$25,000 to $49,999",Pacific,45 - 59,1,Not so worried
289,Female,"$25,000 to $49,999",Mountain,45 - 59,1,Very worried
290,Female,"$175,000 to $199,999",West South Central,45 - 59,1,Somewhat worried
291,Male,"$75,000 to $99,999",New England,45 - 59,1,Not at all worried
292,Female,Prefer not to answer,South Atlantic,30 - 44,1,Not so worried
293,Male,"$75,000 to $99,999",,45 - 59,1,Somewhat worried
294,Female,Prefer not to answer,East North Central,60,1,Not at all worried
295,Male,"$50,000 to $74,999",Middle Atlantic,30 - 44,1,Not at all worried
296,Female,"$10,000 to $24,999",South Atlantic,18 - 29,1,Not so worried
297,Male,"$125,000 to $149,999",Pacific,45 - 59,1,Somewhat worried
298,Female,"$200,000 and up",West North Central,30 - 44,1,Not so worried
299,Female,"$25,000 to $49,999",West North Central,30 - 44,1,Somewhat worried
300,Female,"$50,000 to $74,999",West North Central,45 - 59,1,Not so worried
301,Female,"$125,000 to $149,999",East North Central,30 - 44,1,Not so worried
302,Female,"$75,000 to $99,999",East North Central,30 - 44,1,Not at all worried
303,Female,"$10,000 to $24,999",East North Central,18 - 29,1,Not at all worried
304,Male,"$50,000 to $74,999",West South Central,30 - 44,1,Not at all worried
305,Female,Prefer not to answer,East North Central,60,1,Somewhat worried
306,Female,Prefer not to answer,Pacific,30 - 44,1,Somewhat worried
307,Male,"$150,000 to $174,999",West South Central,60,1,Not so worried
308,Female,"$100,000 to $124,999",East North Central,45 - 59,1,Somewhat worried
309,Female,"$75,000 to $99,999",West South Central,18 - 29,1,Not at all worried
310,Male,"$50,000 to $74,999",West South Central,30 - 44,1,Not so worried
311,Female,"$75,000 to $99,999",Pacific,45 - 59,1,Not so worried
312,Male,Prefer not to answer,West South Central,60,1,Not at all worried
313,Female,"$100,000 to $124,999",West North Central,30 - 44,1,Not at all worried
314,Female,"$25,000 to $49,999",East South Central,30 - 44,1,Not at all worried
315,Male,"$25,000 to $49,999",New England,30 - 44,1,Somewhat worried
316,Female,"$10,000 to $24,999",,30 - 44,1,Somewhat worried
317,Male,"$50,000 to $74,999",West North Central,60,1,Not at all worried
318,Female,"$0 to $9,999",Middle Atlantic,18 - 29,1,Not so worried
319,Female,"$25,000 to $49,999",Mountain,18 - 29,1,Not at all worried
320,Male,"$10,000 to $24,999",Pacific,30 - 44,1,Not at all worried
321,Female,"$25,000 to $49,999",West South Central,30 - 44,1,Somewhat worried
322,Female,Prefer not to answer,West South Central,45 - 59,1,Not so worried
323,Male,Prefer not to answer,South Atlantic,30 - 44,1,Not at all worried
324,Female,"$100,000 to $124,999",East North Central,30 - 44,1,Extremely worried
325,Male,Prefer not to answer,Middle Atlantic,30 - 44,1,Extremely worried
326,Female,"$175,000 to $199,999",Pacific,30 - 44,1,Somewhat worried
327,Female,"$25,000 to $49,999",East North Central,18 - 29,1,Not at all worried
328,Female,Prefer not to answer,Middle Atlantic,60,1,Not at all worried
329,Male,Prefer not to answer,Middle Atlantic,45 - 59,1,Not so worried
330,Female,Prefer not to answer,East South Central,60,1,Not so worried
331,Female,"$25,000 to $49,999",Middle Atlantic,60,1,Not so worried
332,Female,"$10,000 to $24,999",Pacific,60,1,Somewhat worried
333,Female,"$75,000 to $99,999",New England,18 - 29,1,Not so worried
334,Male,"$100,000 to $124,999",East North Central,60,1,Not so worried
335,Female,"$0 to $9,999",Pacific,18 - 29,1,Extremely worried
336,Female,"$150,000 to $174,999",Pacific,18 - 29,1,Somewhat worried
337,Male,"$100,000 to $124,999",South Atlantic,30 - 44,1,Not at all worried
338,Female,"$125,000 to $149,999",South Atlantic,30 - 44,1,Not at all worried
339,Female,"$100,000 to $124,999",Middle Atlantic,30 - 44,1,Somewhat worried
340,Female,"$50,000 to $74,999",East North Central,45 - 59,1,Not at all worried
341,Male,Prefer not to answer,Pacific,60,1,Not at all worried
342,Female,"$100,000 to $124,999",New England,30 - 44,1,Not at all worried
343,Female,"$100,000 to $124,999",East North Central,45 - 59,1,Somewhat worried
344,Female,"$200,000 and up",Middle Atlantic,45 - 59,1,Not at all worried
345,Female,"$10,000 to $24,999",South Atlantic,18 - 29,1,Somewhat worried
346,Male,Prefer not to answer,West South Central,45 - 59,1,Not at all worried
347,Female,"$50,000 to $74,999",South Atlantic,60,1,Very worried
348,Male,"$150,000 to $174,999",Middle Atlantic,45 - 59,1,Not at all worried
349,Female,Prefer not to answer,Middle Atlantic,45 - 59,1,Not so worried
350,Female,Prefer not to answer,East South Central,45 - 59,1,Not so worried
351,Female,"$75,000 to $99,999",East North Central,45 - 59,1,Not at all worried
352,Male,"$0 to $9,999",Middle Atlantic,45 - 59,1,Somewhat worried
353,Female,Prefer not to answer,East North Central,18 - 29,1,Not so worried
354,Female,Prefer not to answer,Middle Atlantic,60,1,Not so worried
355,Male,"$75,000 to $99,999",New England,60,1,Not at all worried
356,Male,Prefer not to answer,New England,18 - 29,1,Not so worried
357,Male,"$0 to $9,999",South Atlantic,18 - 29,1,Extremely worried
358,,,,,1,Extremely worried
359,Female,"$0 to $9,999",East South Central,30 - 44,1,Not at all worried
360,Male,Prefer not to answer,,45 - 59,1,Not at all worried
361,Female,Prefer not to answer,New England,45 - 59,1,Not so worried
362,Male,"$75,000 to $99,999",Middle Atlantic,60,1,Not at all worried
363,Female,"$50,000 to $74,999",Middle Atlantic,60,1,Not at all worried
364,Male,"$100,000 to $124,999",South Atlantic,18 - 29,1,Not so worried
365,Female,"$75,000 to $99,999",West South Central,30 - 44,1,Somewhat worried
366,Male,"$150,000 to $174,999",East North Central,60,1,Not at all worried
367,Male,"$200,000 and up",Pacific,45 - 59,1,Not at all worried
368,Female,Prefer not to answer,East North Central,18 - 29,1,Somewhat worried
369,Female,"$75,000 to $99,999",West North Central,30 - 44,1,Somewhat worried
370,Female,Prefer not to answer,Middle Atlantic,45 - 59,1,Not so worried
371,Male,"$0 to $9,999",South Atlantic,60,1,Not so worried
372,Female,"$25,000 to $49,999",East North Central,60,1,Somewhat worried
373,Female,"$25,000 to $49,999",Mountain,60,1,Somewhat worried
374,Female,"$75,000 to $99,999",New England,60,1,Not so worried
375,Female,"$75,000 to $99,999",Middle Atlantic,30 - 44,1,Not at all worried
376,Male,"$75,000 to $99,999",West North Central,60,1,Somewhat worried
377,Female,"$100,000 to $124,999",East North Central,30 - 44,1,Not so worried
378,Male,"$50,000 to $74,999",West South Central,45 - 59,1,Not so worried
379,Female,"$25,000 to $49,999",Mountain,60,1,Not at all worried
380,Male,Prefer not to answer,Pacific,60,1,Not at all worried
381,Female,Prefer not to answer,East North Central,45 - 59,1,Not at all worried
382,Male,Prefer not to answer,Pacific,60,1,Not so worried
383,Male,"$25,000 to $49,999",New England,30 - 44,1,Not at all worried
384,Female,Prefer not to answer,Pacific,18 - 29,1,Not so worried
385,Female,"$50,000 to $74,999",West North Central,30 - 44,1,Not at all worried
386,Female,"$50,000 to $74,999",Pacific,45 - 59,1,Somewhat worried
387,Female,Prefer not to answer,Pacific,45 - 59,1,Somewhat worried
388,Female,"$10,000 to $24,999",South Atlantic,18 - 29,1,Extremely worried
389,Female,"$125,000 to $149,999",Pacific,30 - 44,1,Very worried
390,Female,"$10,000 to $24,999",West South Central,60,1,Not so worried
391,Male,"$75,000 to $99,999",South Atlantic,60,1,Not so worried
392,Male,"$10,000 to $24,999",South Atlantic,30 - 44,1,Not so worried
393,Female,Prefer not to answer,East North Central,18 - 29,1,Very worried
394,Female,"$25,000 to $49,999",South Atlantic,30 - 44,1,Not at all worried
395,,,,,1,Very worried
